title,path,order,section,description
"Error Boundaries","/error-boundaries","6A","Special Case React Tools",
"Context","/context","6B","Special Case React Tools",
"Portals and Refs","/portals-and-refs","6C","Special Case React Tools",
"Conclusion of Complete Intro to React","/conclusion","7A","End of Intro","A quick note and congratulations from Brian for completing the Complete Intro to React v6!"
"Ways to Expand on this Project","/ways-to-expand-your-app","7B","End of Intro","If you want to improve this app and have some more practice with React, here are some ideas for you!"
"Welcome","/intermediate-react-v3","8A","Intermediate React v3","Brian introduces you to Intermediate React v3 and explains how the course is structured."
"useState","/usestate","9A","Hooks in Depth",
"useEffect","/useeffect-2","9B","Hooks in Depth",
"useContext","/usecontext","9C","Hooks in Depth",
"useRef","/useref","9D","Hooks in Depth",
"useReducer","/usereducer","9E","Hooks in Depth",
"useMemo","/usememo","9F","Hooks in Depth","useMemo memoizes expensive function calls so they only are re-evaluated when needed."
"useCallback","/usecallback","9G","Hooks in Depth","useCallback is quite similar and indeed it's implemented with the same mechanisms as useMemo except it's a callback instead of a value"
"useLayoutEffect","/uselayouteffect","9H","Hooks in Depth",
"useImperativeHandle","/useimperativehandle","9I","Hooks in Depth",
"useDebugValue","/usedebugvalue","9J","Hooks in Depth",
"CSS and React","/css-and-react","10A","TailwindCSS",
"Tailwind Basics","/tailwind-basics","10B","TailwindCSS",
"Tailwind Plugins","/tailwind-plugins","10C","TailwindCSS",
"Grid and Breakpoints","/grid-and-breakpoints","10D","TailwindCSS",
"Positioning","/positioning","10E","TailwindCSS",
"Code Splitting","/code-splitting","11A","Code Splitting",
"Server Side Rendering","/server-side-rendering","12A","Server Side Rendering",
"Streaming Markup","/streaming-markup","12B","Server Side Rendering",
"Modal","/ts-modal","13A","TypeScript",
"TypeScript + ESLint","/ts-eslint","13B","TypeScript",
"ThemeContext","/ts-theme-context","13C","TypeScript","Brian quickly converts ThemeContext.tsx"
"Details","/ts-details","13D","TypeScript","Brian quickly converts Details.tsx"
"ErrorBoundary","/ts-error-boundary","13E","TypeScript","Brian quickly converts ErrorBoundary.tsx"
"Carousel","/ts-carousel","13F","TypeScript","Brian quickly converts Carousel.tsx"
"Pet","/ts-pet","13G","TypeScript","Brian quickly converts Pet.tsx"
"useBreedList","/ts-usebreedlist","13H","TypeScript","Brian quickly converts useBreedList.tsx"
"SearchParams","/ts-searchParams","13I","TypeScript","Brian quickly converts SearchParams.tsx"
"Results","/ts-results","13J","TypeScript","Brian quickly converts Results.tsx"
"App","/ts-app","13K","TypeScript","Brian quickly converts App.tsx and wraps up"
"Getting Started","/redux-getting-started","14A","Redux",
"Reducers","/reducers","14B","Redux",
"Action Creators","/action-creators","14D","Redux",
"Providers","/providers","14E","Redux",
"Dispatching Actions","/dispatching-actions","14F","Redux",
"Redux Dev Tools","/redux-dev-tools","14G","Redux",
"Intro to Testing React","/testing-react","15A","Testing",
"Basic React Testing","/basic-react-testing","15B","Testing",
"Testing UI Interactions","/testing-ui-interactions","15C","Testing",
"Testing Custom Hooks","/testing-custom-hooks","15D","Testing",
"Mocks","/mocks","15E","Testing",
"Snapshots","/snapshots","15F","Testing",
"Istanbul","/istanbul","15G","Testing",
"Conclusion of Intermediate React","/end-of-intermiate","16A","End of Intermediate",
